scenario_id,timestamp,alpha_legit,alpha_legit_std,kurtosis_legit,kurtosis_legit_std,hurst_legit,hurst_legit_std,alpha_anom,alpha_anom_std,kurtosis_anom,kurtosis_anom_std,hurst_anom,hurst_anom_std,c0,c1,N,domain_size,scenario,n_seeds,ambient,delta_alpha,delta_kurtosis,delta_hurst,rho,sqrt_rho,sigma_c_mean,sigma_c_std,sigma_c_lo,sigma_c_hi,theta_c_mean,theta_c_std,theta_c_lo,theta_c_hi,status,error_msg
188,2025-11-18T04:17:22.925494,3.8164489532971446,0.30124381763687075,4.909748292406931,1.8102856283269964,0.5941213590242097,0.06254233007743705,2.124991559087719,0.3233619404440622,17.958201580757816,1.9646801049195268,0.5443826178621751,0.09027289767001084,0.14977984461230426,0.48353022105663274,562,75,RingSwarm,50,0.75,1.6914573942094258,13.048453288350885,0.04973874116203458,0.09991111111111112,0.31608718909679195,0.353,0.0,0.353,0.353,0.11157877775116755,0.0,0.11157877775116755,0.11157877775116755,completed,
190,2025-11-18T05:41:48.928247,2.216637215317865,0.20912413673260538,5.991270990927017,1.1790160759272375,0.6433050337994215,0.05307495294695688,2.3429870809404667,0.623515862681547,2.231306453675356,3.919729086424754,0.6550471463345756,0.06421265383514202,0.29046149069706123,0.49388093121632753,562,75,RingSwarm,50,0.75,0.12634986562260186,3.759964537251661,0.011742112535154114,0.09991111111111112,0.31608718909679195,0.353,0.0,0.353,0.353,0.11157877775116755,0.0,0.11157877775116755,0.11157877775116755,completed,
192,2025-11-18T07:06:14.525641,2.0669795013757692,0.705786627483884,3.4526162423850058,2.3344747698461745,0.4162745569084221,0.05268234997538329,2.516700835246691,0.32100096076433204,5.822492304096734,2.781774954234296,0.5553460283046706,0.0761110239904037,0.597042372565964,0.29471398552992834,562,75,RingSwarm,50,0.75,0.44972133387092184,2.3698760617117283,0.13907147139624854,0.09991111111111112,0.31608718909679195,0.353,0.0,0.353,0.353,0.11157877775116755,0.0,0.11157877775116755,0.11157877775116755,completed,
194,2025-11-18T08:32:04.894744,2.0139872858931005,0.7436109530263975,3.4038543091889357,1.8937740556379568,0.42369262657437706,0.07377465947224618,2.743610423378504,0.7947075903693213,13.08195423269844,3.9248142933785495,0.6476937619817307,0.13484720080301307,0.21896719721861285,0.09301780450510104,562,75,RingSwarm,50,0.75,0.7296231374854036,9.678099923509503,0.2240011354073536,0.09991111111111112,0.31608718909679195,0.353,0.0,0.353,0.353,0.11157877775116755,0.0,0.11157877775116755,0.11157877775116755,completed,
196,2025-11-18T09:57:18.029891,3.9905577395568965,0.7342606863823329,7.409524725159136,1.6792533515852184,0.5977017844922695,0.0578940715173543,3.360338334902819,0.3119311852973788,17.485854194781005,2.4454345024524353,0.7421061300615057,0.07180859587102724,0.5165433472747223,0.24943172858996326,562,75,RingSwarm,50,0.75,0.6302194046540777,10.07632946962187,0.1444043455692362,0.09991111111111112,0.31608718909679195,0.353,0.0,0.353,0.353,0.11157877775116755,0.0,0.11157877775116755,0.11157877775116755,completed,
198,2025-11-18T11:21:15.557988,3.7884503084074534,0.7123413495477791,3.250950913277773,0.6585810987152139,0.49801084192511774,0.083187471324713,2.4641454433883148,0.7362377343655955,3.831789899608789,3.57927673999604,0.7072259889638789,0.05583566139566411,0.4028617032179735,0.38033892639802347,562,75,RingSwarm,50,0.75,1.3243048650191387,0.5808389863310159,0.20921514703876115,0.09991111111111112,0.31608718909679195,0.353,0.0,0.353,0.353,0.11157877775116755,0.0,0.11157877775116755,0.11157877775116755,completed,
200,2025-11-18T12:44:36.173879,2.8360070860755284,0.4610090444995995,5.227264351210718,1.217616568197076,0.6825285855100107,0.1055559422921599,2.6541588324966874,0.6167227641522219,11.857382907540373,3.2358397293721035,0.4872595321817511,0.05859042241527507,0.08333714403320833,0.35355605888782055,562,75,RingSwarm,50,0.75,0.18184825357884105,6.630118556329655,0.1952690533282596,0.09991111111111112,0.31608718909679195,0.353,0.0,0.353,0.353,0.11157877775116755,0.0,0.11157877775116755,0.11157877775116755,completed,
202,2025-11-18T14:09:29.484895,2.412749934639008,0.5183163750834237,4.241336551525269,2.314195138823371,0.55872232063731,0.0887112461010049,3.268170469767729,0.537628198947752,16.988606212787722,1.2611067094443227,0.8082654598661534,0.07558904105149518,0.42093436475060664,0.1232237019633132,562,75,RingSwarm,50,0.75,0.855420535128721,12.747269661262454,0.2495431392288434,0.09991111111111112,0.31608718909679195,0.353,0.0,0.353,0.353,0.11157877775116755,0.0,0.11157877775116755,0.11157877775116755,completed,
204,2025-11-18T15:35:59.137535,2.881356527216301,0.6398819827025877,2.68702652332224,2.1661684105209944,0.4531513436373351,0.04322544903055692,2.223020754925068,0.43507489974046404,12.02906532780106,3.124133001832095,0.4275306026738001,0.13978633590690875,0.3481762177006737,0.19076015543585018,562,75,RingSwarm,50,0.75,0.6583357722912333,9.34203880447882,0.025620740963535005,0.09991111111111112,0.31608718909679195,0.3559399999999999,0.029252630650934627,0.353,0.353,0.11250807408711211,0.009246381796140585,0.11157877775116755,0.11157877775116755,completed,
206,2025-11-18T17:00:52.383316,3.753806409055861,0.39173381203739044,2.215709247750949,1.424234532394919,0.4605350151272866,0.08163716542536689,2.8343793377715434,0.6020224681712082,17.16976423135388,2.686727970338073,0.6070119716186333,0.13029877469537407,0.09182804901820349,0.4864755855387905,562,75,RingSwarm,50,0.75,0.9194270712843178,14.954054983602932,0.14647695649134668,0.09991111111111112,0.31608718909679195,0.353,0.0,0.353,0.353,0.11157877775116755,0.0,0.11157877775116755,0.11157877775116755,completed,
208,2025-11-18T18:25:42.435212,3.173866450276676,0.6107917835423298,4.346525032311348,2.395380059287576,0.5372535285549487,0.08798620929762117,3.0534069624401363,0.6683493655058711,14.312021958685477,2.5299476190272525,0.6536550588854622,0.06103820536778564,0.5203994406725996,0.42960055932740043,562,75,RingSwarm,50,0.75,0.12045948783653948,9.96549692637413,0.11640153033051348,0.09991111111111112,0.31608718909679195,0.353,0.0,0.353,0.353,0.11157877775116755,0.0,0.11157877775116755,0.11157877775116755,completed,
210,2025-11-18T19:48:44.623204,3.3600534963299,0.5309330212974457,2.4942214886877756,0.8913254204727801,0.6938298393102367,0.06484471008253889,3.774183328280807,0.6562419790246883,19.929523037311444,2.6218729386144437,0.558261779919747,0.04973359471767617,0.486081217432708,0.46391878256729185,562,75,RingSwarm,50,0.75,0.4141298319509068,17.43530154862367,0.13556805939048966,0.09991111111111112,0.31608718909679195,0.353,0.0,0.353,0.353,0.11157877775116755,0.0,0.11157877775116755,0.11157877775116755,completed,
